Meeting_Days_Times,ENROLLMENT
F 0800 - 0950,26
F 1000 - 1050,27
F 1000 - 1150,26
F 1200 - 1300,5
F 1300 - 1350,12
M 0800 - 1030,29
M 0900 - 0950,23
M 0900 - 1050,26
M 0930 - 1045,7
M 1000 - 1050,10
M 1000 - 1100,23
M 1200 - 1315,26
M 1200 - 1445,26
M 1300 - 1550,15
M 1430 - 1520,14
M 1430 - 1620,16
M 1500 - 1600,15
M 1500 - 1650,15
M 1520 - 1750,15
M 1530 - 1800,6
M 1600 - 1650,6
M 1600 - 1715,1
M 1630 - 1755,5
M 1630 - 1820,19
M 1700 - 1945,8
M 1800 - 1850,57
M 1800 - 1900,12
M 1830 - 2020,18
MF 0900 - 0950,24
MTWF 0800 - 0850,62
MTWR 1100 - 1150,25
MTWR 1200 - 1250,22
MW 0830 - 1030,21
MW 0835 - 0950,24
MW 0900 - 1030,6
MW 0900 - 1050,21
MW 1000 - 1115,11
MW 1000 - 1150,22
MW 1100 - 1230,16
MW 1330 - 1610,6
MW 1530 - 1645,5
MWRF 1100 - 1150,29
R 0800 - 0850,0
R 0800 - 0915,19
R 0900 - 0950,6
R 0930 - 1020,21
R 1000 - 1050,13
R 1100 - 1150,25
R 1130 - 1530,4
R 1200 - 1350,26
R 1300 - 1415,9
R 1300 - 1550,23
R 1400 - 1515,20
R 1500 - 1650,22
R 1530 - 1815,18
R 1600 - 1845,11
T 0900 - 1150,23
T 0930 - 1020,21
T 1200 - 1350,25
T 1200 - 1600,17
T 1300 - 1350,14
T 1300 - 1415,7
T 1400 - 1500,5
T 1400 - 1645,17
T 1500 - 1800,7
T 1630 - 1755,6
T 1700 - 2100,10
T 1800 - 1850,99
TR 0900 - 0950,10
TR 0900 - 1015,4
TR 0900 - 1050,2
TR 0930 - 1020,22
TR 1000 - 1130,11
TR 1000 - 1150,12
TR 1100 - 1340,6
TR 1230 - 1515,17
TR 1400 - 1450,19
TR 1400 - 1640,4
TR 1440 - 1555,3
